Index;DataSet;Layer One;Layer Two;Outlayer;Top K;Top M;Alpha;Effectiveness;L Size;MAP;Data Folder
4faaf73e-fb8e-462c-99cb-afa2a89351f7;corel5k;rdpac;cprr;only_nn_descriptors;100;3;0.5;borda score;2500;0.7208;/home/ademir/pyCascade/output/4faaf73e-fb8e-462c-99cb-afa2a89351f7
afeb1fd4-86e5-45f9-8167-b043f2bea3a8;oxford17flowers;rdpac;cprr;only_nn_descriptors;80;3;0.5;borda score;680;0.9240;/home/ademir/pyCascade/output/afeb1fd4-86e5-45f9-8167-b043f2bea3a8
d23b26a2-06a3-4ea4-8dd7-2cee50a89217;oxford17flowers;rdpac;cprr;only_nn_descriptors;80;3;0.5;borda score;1360;0.8850;/home/ademir/pyCascade/output/d23b26a2-06a3-4ea4-8dd7-2cee50a89217
28de8ebb-605a-4e5b-9cf1-4843d4a6d775;corel5k;rdpac;cprr;only_nn_descriptors;100;3;0.5;borda score;5000;0.6769;/home/ademir/pyCascade/output/28de8ebb-605a-4e5b-9cf1-4843d4a6d775
ec08ebbb-2a54-4d11-a9cb-3ba1b23286ac;corel5k;rdpac;cprr;only_nn_descriptors;100;4;0.3;borda score;5000;0.6654;/home/ademir/pyCascade/output/ec08ebbb-2a54-4d11-a9cb-3ba1b23286ac
edafd1f5-c914-4746-b6da-5d259e3bdbe2;corel5k;rdpac;cprr;only_nn_descriptors;100;4;0.4;borda score;5000;0.6328;/home/ademir/pyCascade/output/edafd1f5-c914-4746-b6da-5d259e3bdbe2
ed3c8f3b-794c-4565-b5d3-b0b3fde976e2;corel5k;rdpac;cprr;only_nn_descriptors;100;4;0.5;borda score;5000;0.6328;/home/ademir/pyCascade/output/ed3c8f3b-794c-4565-b5d3-b0b3fde976e2
0d070f6b-342e-45a0-b85d-e819b907ede0;corel5k;rdpac;cprr;only_nn_descriptors;100;4;0.6;borda score;5000;0.6169;/home/ademir/pyCascade/output/0d070f6b-342e-45a0-b85d-e819b907ede0
1b2a7a81-f176-43ec-8a01-55aabdd3bef6;corel5k;rdpac;cprr;only_nn_descriptors;100;4;0.7;borda score;5000;0.6165;/home/ademir/pyCascade/output/1b2a7a81-f176-43ec-8a01-55aabdd3bef6
8dd4cf98-f5a3-4a52-a855-e438ef0f1945;corel5k;rdpac;cprr;only_nn_descriptors;100;4;0.8;borda score;5000;0.6165;/home/ademir/pyCascade/output/8dd4cf98-f5a3-4a52-a855-e438ef0f1945
b8b165a9-3b74-4c86-bc4d-578dff8768ee;corel5k;rdpac;cprr;only_nn_descriptors;100;4;0.9;borda score;5000;0.6142;/home/ademir/pyCascade/output/b8b165a9-3b74-4c86-bc4d-578dff8768ee
b5a39337-6bf9-48af-b1bb-cd318bcf5e4c;corel5k;rdpac;cprr;only_nn_descriptors;100;4;1.0;borda score;5000;0.6142;/home/ademir/pyCascade/output/b5a39337-6bf9-48af-b1bb-cd318bcf5e4c
7dfd4136-ae16-46e4-82d2-6b260900db4b;corel5k;rdpac;cprr;only_nn_descriptors;100;3;0.5;borda score;2500;0.7208;/home/ademir/pyCascade/output/7dfd4136-ae16-46e4-82d2-6b260900db4b
6e6e975a-421a-40a8-bdc5-1da70409b1ff;corel5k;rdpac;cprr;only_nn_descriptors;100;4;0.5;borda score;2500;0.6539;/home/ademir/pyCascade/output/6e6e975a-421a-40a8-bdc5-1da70409b1ff
1d06e78e-925e-4e18-84b4-b423748d054c;corel5k;rdpac;cprr;only_nn_descriptors;100;5;0.5;borda score;2500;0.6450;/home/ademir/pyCascade/output/1d06e78e-925e-4e18-84b4-b423748d054c
b5310e23-08b1-47f9-a668-35d02dfe208f;corel5k;rdpac;cprr;only_nn_descriptors;100;6;0.5;borda score;2500;0.6242;/home/ademir/pyCascade/output/b5310e23-08b1-47f9-a668-35d02dfe208f
41c659b0-dbba-453f-b854-225c8cb544a2;corel5k;rdpac;cprr;only_nn_descriptors;100;4;0.3;borda score;2500;0.6987;/home/ademir/pyCascade/output/41c659b0-dbba-453f-b854-225c8cb544a2
ebefc950-f2bf-4b0e-afc9-b9dc54a69917;corel5k;rdpac;cprr;only_nn_descriptors;100;5;0.3;borda score;2500;0.6539;/home/ademir/pyCascade/output/ebefc950-f2bf-4b0e-afc9-b9dc54a69917
a8c0fded-af0d-41d3-b796-82ec4c5d87fa;corel5k;rdpac;cprr;only_nn_descriptors;100;6;0.3;borda score;2500;0.6253;/home/ademir/pyCascade/output/a8c0fded-af0d-41d3-b796-82ec4c5d87fa
271e9f49-5b25-4e55-a300-1bb85094b092;corel5k;rdpac;cprr;only_nn_descriptors;100;7;0.3;borda score;2500;0.6314;/home/ademir/pyCascade/output/271e9f49-5b25-4e55-a300-1bb85094b092
9434c3a9-295d-423c-8a9e-f3346bdba431;corel5k;rdpac;cprr;only_nn_descriptors;100;8;0.3;borda score;2500;0.6299;/home/ademir/pyCascade/output/9434c3a9-295d-423c-8a9e-f3346bdba431
8bfbfac4-5427-44bc-9186-e642e2c554d5;corel5k;rdpac;cprr;only_nn_descriptors;100;9;0.3;borda score;2500;0.6184;/home/ademir/pyCascade/output/8bfbfac4-5427-44bc-9186-e642e2c554d5
4218aa4c-4e18-4783-b8dc-8ef30ffd3891;corel5k;rdpac;cprr;only_nn_descriptors;100;4;0.3;borda score;5000;0.6654;/home/ademir/pyCascade/output/4218aa4c-4e18-4783-b8dc-8ef30ffd3891
541fb387-564b-40a2-ba9a-b18ada8170ed;corel5k;rdpac;cprr;only_nn_descriptors;100;5;0.3;borda score;5000;0.6104;/home/ademir/pyCascade/output/541fb387-564b-40a2-ba9a-b18ada8170ed
a52ebf0e-f043-4bd8-aeae-9a5456884f4b;corel5k;rdpac;cprr;only_nn_descriptors;100;6;0.3;borda score;5000;0.5916;/home/ademir/pyCascade/output/a52ebf0e-f043-4bd8-aeae-9a5456884f4b
